airbnb_listing_id,diaria_media,diaria_mediana,dias_ocupados,min_data,max_data,qtd_linhas
630326155301078742,366.2162162162162,350.0,37,2025-02-11,2025-04-07,37
633809099013662442,454.76190476190476,450.0,42,2025-02-05,2025-04-17,42
639163267116212627,100.0,100.0,8,2025-01-20,2025-01-30,8
639216644351145145,962.5,900.0,16,2025-03-16,2025-04-15,16
645092818132652927,359.13793103448273,320.0,29,2025-02-21,2025-04-07,29
667324814851452653,861.4477611940298,800.0,67,2025-01-31,2025-04-20,67
668715506986619718,666.2148133333334,720.0,45,2025-01-13,2025-03-31,45
670778657683556451,954.9268292682926,976.0,41,2025-01-22,2025-03-31,41
673825002694927178,802.8571428571429,920.0,42,2025-01-27,2025-03-31,42
673826204715344716,952.6169811320755,1058.0,53,2025-01-21,2025-03-31,53
673826267743797671,733.4444444444445,704.0,27,2025-03-05,2025-03-31,27
674566887638611404,496.42857142857144,600.0,42,2025-01-20,2025-04-17,42
675242237586865339,471.50432909090904,464.0,77,2025-01-06,2025-04-20,77
676838365540390245,250.0,250.0,20,2025-04-01,2025-04-20,20
678242953903453952,353.0612244897959,350.0,49,2025-01-24,2025-04-16,49
679166677359467385,1130.6708848101266,937.0,79,2025-01-20,2025-04-20,79
681139047695558927,229.46808510638297,219.0,47,2025-01-17,2025-03-17,47
681894806923375678,773.9487179487179,648.0,39,2025-01-29,2025-03-31,39
684782448665574114,586.75,635.0,60,2025-02-12,2025-04-20,60
686743101124580615,818.2037037037037,648.0,27,2025-02-14,2025-03-31,27
687757820659405525,571.5,557.5,90,2025-01-11,2025-04-20,90
693024169316156606,591.257575909091,562.0,44,2025-01-23,2025-03-31,44
694313018923554703,1114.4885034482759,1040.0,29,2025-01-31,2025-03-31,29
694947516825280143,332.04347826086956,330.0,23,2025-02-07,2025-04-16,23
703527486074504582,340.875,300.0,74,2025-01-27,2025-04-20,74
703538637731385185,400.9561405263158,402.0,76,2025-01-28,2025-04-20,76
703678241822238330,321.23333333333335,300.0,60,2025-02-15,2025-04-20,60
705946468067026302,439.0,380.0,60,2025-01-28,2025-04-17,60
